PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Buhlmann, P; Wyner, AJ				Buhlmann, P; Wyner, AJ			Variable length Markov chains	ANNALS OF STATISTICS												We study estimation in the class of stationary variable length Markov chains (VLMC) on a finite space. The processes in this class are still Markovian of high order, but with memory of variable length yielding a much bigger and structurally richer class of models than ordinary high-order Markov chains. From an algorithmic view, the VLMC model class has attracted interest in information theory and machine learning, but statistical properties have not yet been explored. Provided that good estimation is available, the additional structural richness of the model class enhances predictive power by finding a better trade-off between model bias and variance and allowing better structural description which can be of specific interest. The latter is exemplified with some DNA data. A version of the tree-structured context algorithm, proposed by Rissanen in an information theoretical set-up is shown to have new good asymptotic properties for estimation in the class of VLMCs. This remains true even when the underlying model increases in dimensionality. Furthermore, consistent estimation of minimal state spaces and mixing properties of fitted models are given. We also propose a new bootstrap scheme based on fitted VLMCs. We show its validity for quite general stationary categorical time series and for a broad range of statistical procedures.				Buhlmann, Peter/A-2107-2013	Buhlmann, Peter/0000-0002-1782-6015												0090-5364					APR	1999	27	2					480	513								WOS:000082687200004		
J	Bredensteiner, EJ; Bennett, KP				Bredensteiner, EJ; Bennett, KP			Multicategory classification by support vector machines	COMPUTATIONAL OPTIMIZATION AND APPLICATIONS												We examine the problem of how to discriminate between objects of three or more classes. Specifically, we investigate how two-class discrimination methods can be extended to the multiclass case. We show how the linear programming (LP) approaches based on the work of Mangasarian and quadratic programming (QP) approaches based on Vapnik's Support Vector Machine (SVM) can be combined to yield two new approaches to the multiclass problem. In LP multiclass discrimination, a single linear program is used to construct a piecewise-linear classification function. In our proposed multiclass SVM method, a single quadratic program is used to construct a piecewise-nonlinear classification function. Each piece of this function can take the form of a polynomial, a radial basis function, or even a neural network. For the k > 2-class problems, the SVM method as originally proposed required the construction of a two-class SVM to separate each class from the remaining classes. Similarily, k two-class linear programs can be used for the multiclass problem. We performed an empirical study of the original LP method, the proposed k LP method, the proposed single QP method and the original k QP methods. We discuss the advantages and disadvantages of each approach.																	0926-6003					JAN	1999	12	1-3					53	79		10.1023/A:1008663629662						WOS:000080941900005		
J	Ghosh-Dastidar, S; Adeli, H				Ghosh-Dastidar, Samanwoy; Adeli, Hojjat			SPIKING NEURAL NETWORKS	INTERNATIONAL JOURNAL OF NEURAL SYSTEMS												Most current Artificial Neural Network (ANN) models are based on highly simplified brain dynamics. They have been used as powerful computational tools to solve complex pattern recognition, function estimation, and classification problems. ANNs have been evolving towards more powerful and more biologically realistic models. In the past decade, Spiking Neural Networks (SNNs) have been developed which comprise of spiking neurons. Information transfer in these neurons mimics the information transfer in biological neurons, i.e., via the precise timing of spikes or a sequence of spikes. To facilitate learning in such networks, new learning algorithms based on varying degrees of biological plausibility have also been developed recently. Addition of the temporal dimension for information encoding in SNNs yields new insight into the dynamics of the human brain and could result in compact representations of large neural networks. As such, SNNs have great potential for solving complicated time-dependent pattern recognition problems because of their inherent dynamic representation. This article presents a state-of-the-art review of the development of spiking neurons and SNNs, and provides insight into their evolution as the third generation neural networks.				Ghosh-Dastidar, Samanwoy/A-5232-2008; adeli, hojjat/D-1430-2010	adeli, hojjat/0000-0001-5718-1453												0129-0657					AUG	2009	19	4					295	308								WOS:000269527600006	19731402	
J	Fan, Y; Resnick, SM; Wu, XY; Davatzikos, C				Fan, Yong; Resnick, Susan M.; Wu, Xiaoying; Davatzikos, Christos			Structural and functional biomarkers of prodromal Alzheimer's disease: A high-dimensional pattern classification study	NEUROIMAGE												This work builds upon previous studies that reported high sensitivity and specificity in classifying individuals with mild cognitive impairment (MCI), which is often a prodromal phase of Alzheimer's disease (AD), via pattern classification of MRI scans. The current study integrates MRI and PET O-15 water scans from 30 participants in the Baltimore Longitudinal Study of Aging, and tests the hypothesis that joint evaluation of structure and function can yield higher classification accuracy than either alone. Classification rates of up to 100% accuracy were achieved via leave-one-out cross-validation, whereas conservative estimates of generalization performance in new scans, evaluated via bagging cross-validation, yielded an area under the receiver operating characteristic (ROC) curve equal to 0.978 (97.8%), indicating excellent diagnostic accuracy. Spatial maps of regions determined to contribute the most to the classification implicated many temporal, prefrontal, orbitofrontal, and parietal regions. Detecting complex patterns of brain abnormality in early stages of cognitive impairment has pivotal importance for the detection and management of AD. (c) 2008 Elsevier Inc. All rights reserved.					Fan, Yong/0000-0001-9869-4685												1053-8119	1095-9572				JUN	2008	41	2					277	285		10.1016/j.neuroimage.2008.02.043						WOS:000256271100011	18400519	
J	SRINIVASAN, K; FISHER, D				SRINIVASAN, K; FISHER, D			MACHINE LEARNING APPROACHES TO ESTIMATING SOFTWARE-DEVELOPMENT EFFORT	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING												Accurate estimation of software development effort is critical in software engineering. Underestimates lead to time pressures that may compromise full functional development and thorough testing of software. In contrast, overestimates can result in noncompetitive contract bids and/or over allocation of development resources and personnel. As a result, many models for estimating software development effort have been proposed. This article describes two methods of machine learning, which we use to build estimators of software development effort from historical data. Our experiments indicate that these techniques are competitive with traditional estimators on one dataset, but also illustrate that these methods are sensitive to the data on which they are trained. This cautionary note applies to any model-construction strategy that relies on historical data. All such models for software effort estimation should be evaluated by exploring model sensitivity on a variety of historical data.																	0098-5589					FEB	1995	21	2					126	137		10.1109/32.345828						WOS:A1995QG40700008		
S	Gray, D; Tao, H		Forsyth, D; Torr, P; Zisserman, A		Gray, Douglas; Tao, Hai			Viewpoint Invariant Pedestrian Recognition with an Ensemble of Localized Features	COMPUTER VISION - ECCV 2008, PT I, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				10th European Conference on Computer Vision (ECCV 2008)	OCT 12-18, 2008	Marseille, FRANCE	INRIA, Ville Marseille, Reg Province Alpes-Cote Azur, Deutsch Telekom Lab, Microsoft Res, Orange, INRIA, Microsoft Res, EADS, TOSHIBA, Springer				Viewpoint invariant pedestrian recognition is an import yet under-addressed problem computer vision. This is likely due to the difficulty in matching two objects With unknown viewpoint and pose. This paper presents a method of performing viewpoint invariant pedestrian recognition using an efficiently and intelligently designed object representation, the ensemble of localized features (ELF). Instead of designing a specific feature by, hand to solve the problem, we define a feature space using our intuition about the problem and let a machine learning algorithm find the best, representation. We show how both an object class specific representation and a discriminative recognition model can be learned using the AdaBoost algorithm. This approach allows many different kinds of simple features to be combined into a single similarity function. The method is evaluated using a viewpoint invariant pedestrian recognition dataset and the results are shown to be superior to all previous benchmarks for both recognition and reacquisition of pedestrians.																	0302-9743		978-3-540-88681-5				2008	5302		1				262	275								WOS:000260656000020		
J	Ellis, DI; Broadhurst, D; Kell, DB; Rowland, JJ; Goodacre, R				Ellis, DI; Broadhurst, D; Kell, DB; Rowland, JJ; Goodacre, R			Rapid and quantitative detection of the microbial spoilage of meat by Fourier transform infrared spectroscopy and machine learning	APPLIED AND ENVIRONMENTAL MICROBIOLOGY												Fourier transform infrared (FT-IR) spectroscopy is a rapid, noninvasive technique with considerable potential for application in the food and related industries. We show here that this technique can be used directly on the surface of food to produce biochemically interpretable "fingerprints." Spoilage in meat is the result of decomposition and the formation of metabolites caused by the growth and enzymatic activity of microorganisms. FT-IR was exploited to measure biochemical changes within the meat substrate, enhancing and accelerating the detection of microbial spoilage. Chicken breasts were purchased from a national retailer, comminuted for 10 s, and left to spoil at room temperature for 24 h. Every hour, FT-IR measurements were taken directly from the meat surface using attenuated total reflectance, and the total viable counts were obtained by classical plating methods. Quantitative interpretation of FT-IR spectra was possible using partial least-squares regression and allowed accurate estimates of bacterial loads to be calculated directly from the meat surface in 60 s. Genetic programming was used to derive rules showing that at levels of 10(7) bacteria.g(-1) the main biochemical indicator of spoilage was the onset of proteolysis. Thus, using FT-IR we were able to acquire a metabolic snapshot and quantify, noninvasively, the microbial loads of food samples accurately and rapidly in 60 s, directly from the sample surface. We believe this approach will aid in the Hazard Analysis Critical Control Point process for the assessment of the microbiological safety of food at the production, processing, manufacturing, packaging, and storage levels.				Kell, Douglas/E-8318-2011; Goodacre, Roy/J-1600-2012; Ellis, David/D-8603-2016	Kell, Douglas/0000-0001-5838-7963; Goodacre, Roy/0000-0003-2230-645X; Ellis, David/0000-0002-7633-7019												0099-2240					JUN	2002	68	6					2822	2828		10.1128/AEM.68.6.2822-2828.2002						WOS:000176030100026	12039738	
J	DORNDORF, U; PESCH, E				DORNDORF, U; PESCH, E			EVOLUTION BASED LEARNING IN A JOB-SHOP SCHEDULING ENVIRONMENT	COMPUTERS & OPERATIONS RESEARCH												A class of approximation algorithms is described for solving the minimum makespan problem of job shop scheduling. A common basis of these algorithms is the underlying genetic algorithm that serves as a meta-strategy to guide an optimal design of local decision rule sequences. We consider sequences of dispatching rules for job assignment as well as sequences of one machine solutions in the sense of the shifting bottleneck procedure of Adams et al. Computational experiments show that our algorithm can find shorter makespans than the shifting bottleneck heuristic or a simulated annealing approach with the same running time.																	0305-0548					JAN	1995	22	1					25	40		10.1016/0305-0548(93)E0016-M						WOS:A1995PV15500005		
J	GILES, CL; MILLER, CB; CHEN, D; CHEN, HH; SUN, GZ; LEE, YC				GILES, CL; MILLER, CB; CHEN, D; CHEN, HH; SUN, GZ; LEE, YC			LEARNING AND EXTRACTING FINITE STATE AUTOMATA WITH 2ND-ORDER RECURRENT NEURAL NETWORKS	NEURAL COMPUTATION												We show that a recurrent, second-order neural network using a real-time, forward training algorithm readily learns to infer small regular grammars from positive and negative string training samples. We present simulations that show the effect of initial conditions, training set size and order, and neural network architecture. All simulations were performed with random initial weight strengths and usually converge after approximately a hundred epochs of training. We discuss a quantization algorithm for dynamically extracting finite state automata during and after training. For a well-trained neural net, the extracted automata constitute an equivalence class of state machines that are reducible to the minimal machine of the inferred grammar. We then show through simulations that many of the neural net state machines are dynamically stable, that is, they correctly classify many long unseen strings. In addition, some of these extracted automata actually outperform the trained neural network for classification of unseen strings.																	0899-7667					MAY	1992	4	3					393	405		10.1162/neco.1992.4.3.393						WOS:A1992HZ47600008		
J	Duchi, JC; Agarwal, A; Wainwright, MJ				Duchi, John C.; Agarwal, Alekh; Wainwright, Martin J.			Dual Averaging for Distributed Optimization: Convergence Analysis and Network Scaling	IEEE TRANSACTIONS ON AUTOMATIC CONTROL												The goal of decentralized optimization over a network is to optimize a global objective formed by a sum of local (possibly nonsmooth) convex functions using only local computation and communication. It arises in various application domains, including distributed tracking and localization, multi-agent coordination, estimation in sensor networks, and large-scale machine learning. We develop and analyze distributed algorithms based on dual subgradient averaging, and we provide sharp bounds on their convergence rates as a function of the network size and topology. Our analysis allows us to clearly separate the convergence of the optimization algorithm itself and the effects of communication dependent on the network structure. We show that the number of iterations required by our algorithm scales inversely in the spectral gap of the network, and confirm this prediction's sharpness both by theoretical lower bounds and simulations for various networks. Our approach includes the cases of deterministic optimization and communication, as well as problems with stochastic optimization and/or communication.																	0018-9286					MAR	2012	57	3					592	606		10.1109/TAC.2011.2161027						WOS:000300845400004		
J	Galar, M; Fernandez, A; Barrenechea, E; Bustince, H; Herrera, F				Galar, Mikel; Fernandez, Alberto; Barrenechea, Edurne; Bustince, Humberto; Herrera, Francisco			An overview of ensemble methods for binary classifiers in multi-class problems: Experimental study on one-vs-one and one-vs-all schemes	PATTERN RECOGNITION												Classification problems involving multiple classes can be addressed in different ways. One of the most popular techniques consists in dividing the original data set into two-class subsets, learning a different binary model for each new subset. These techniques are known as binarization strategies. In this work, we are interested in ensemble methods by binarization techniques; in particular, we focus on the well-known one-vs-one and one-vs-all decomposition strategies, paying special attention to the final step of the ensembles, the combination of the outputs of the binary classifiers. Our aim is to develop an empirical analysis of different aggregations to combine these outputs. To do so, we develop a double study: first, we use different base classifiers in order to observe the suitability and potential of each combination within each classifier. Then, we compare the performance of these ensemble techniques with the classifiers' themselves. Hence, we also analyse the improvement with respect to the classifiers that handle multiple classes inherently. We carry out the experimental study with several well-known algorithms of the literature such as Support Vector Machines, Decision Trees, Instance Based Learning or Rule Based Systems. We will show, supported by several statistical analyses, the goodness of the binarization techniques with respect to the base classifiers and finally we will point out the most robust techniques within this framework. (C) 2011 Elsevier Ltd. All rights reserved.				Barrenechea, Edurne/H-4815-2011; Galar, Mikel/H-4846-2011; Bustince, Humberto/H-4868-2011; Herrera, Francisco/C-6856-2008; Fernandez, Alberto/G-3827-2014	Barrenechea, Edurne/0000-0001-6657-948X; Galar, Mikel/0000-0003-2865-6549; Bustince, Humberto/0000-0002-1279-6195; Herrera, Francisco/0000-0002-7283-312X; 												0031-3203	1873-5142				AUG	2011	44	8					1761	1776		10.1016/j.patcog.2011.01.017						WOS:000290054200017		
J	Muller, KR; Tangermann, M; Dornhege, G; Krauledat, M; Curio, G; Blankertz, B				Mueller, Klaus-Robert; Tangermann, Michael; Dornhege, Guido; Krauledat, Matthias; Curio, Gabriel; Blankertz, Benjamin			Machine learning for real-time single-trial EEG-analysis: From brain-computer interfacing to mental state monitoring	JOURNAL OF NEUROSCIENCE METHODS												Machine learning methods are an excellent choice for compensating the high variability in EEG when analyzing single-trial data in real-time. This paper briefly reviews preprocessing and classification techniques for efficient EEG-based brain-computer interfacing (BCI) and mental state monitoring applications. More specifically, this paper gives an outline of the Berlin brain-computer interface (BBCI), which can be operated with minimal subject training. Also, spelling with the novel BBCI-based Hex-o-Spell text entry system, which gains communication speeds of 6-8 letters per minute, is discussed. Finally the results of a real-time arousal monitoring experiment are presented. (C) 2007 Elsevier B.V. All rights reserved.				Muller, Klaus/C-3196-2013													0165-0270					JAN 15	2008	167	1					82	90		10.1016/j.jneumeth.2007.09.022						WOS:000252164300009	18031824	
J	Patel, S; Dawood, A; Ford, TP; Whaites, E				Patel, S.; Dawood, A.; Ford, T. Pitt; Whaites, E.			The potential applications of cone beam computed tomography in the management of endodontic problems	INTERNATIONAL ENDODONTIC JOURNAL												Aim To provide core information on cone beam computed tomography (CBCT) technology and its potential applications in endodontic practice. Summary CBCT has been specifically designed to produce undistorted three-dimensional information of the maxillofacial skeleton as well as three-dimensional images of the teeth and their surrounding tissues. This is usually achieved with a substantially lower effective dose compared with conventional medical computed tomography (CT). Periapical disease may be detected sooner using CBCT compared with periapical views, and the true size, extent, nature and position of periapical and resorptive lesions can be assessed. Root fractures, root canal anatomy and the true nature of the alveolar bone topography around teeth may be assessed. CBCT scans are desirable to assess posterior teeth prior to periapical surgery, as the thickness of the cortical and cancellous bone can be accurately determined as can the inclination of roots in relation to the surrounding jaw. The relationship of anatomical structures such as the maxillary sinus and inferior dental nerve to the root apices may also be clearly visualized. CBCT has a low effective dose in the same order of magnitude as conventional dental radiographs. Key learning points CBCT has a low effective dose in the same order of magnitude as conventional dental radiographs. CBCT has numerous potential applications in the management of endodontic problems.					patel, shanon/0000-0003-0614-6951												0143-2885					OCT	2007	40	10					818	830		10.1111/j.1365-2591.2007.01299.x						WOS:000249429100010	17697108	
J	Craddock, RC; Holtzheimer, PE; Hu, XPP; Mayberg, HS				Craddock, R. Cameron; Holtzheimer, Paul E., III; Hu, Xiaoping P.; Mayberg, Helen S.			Disease State Prediction From Resting State Functional Connectivity	MAGNETIC RESONANCE IN MEDICINE												The application of multivoxel pattern analysis methods has attracted increasing attention, particularly for brain state prediction and real-time functional MRI applications. Support vector classification is the most popular of these techniques, owing to reports that it has better prediction accuracy and is less sensitive to noise. Support vector classification was applied to learn functional connectivity patterns that distinguish patients with depression from healthy volunteers. In addition, two feature selection algorithms were implemented (one filter method, one wrapper method) that incorporate reliability information into the feature selection process. These reliability feature selections methods were compared to two previously proposed feature selection methods. A support vector classifier was trained that reliably distinguishes healthy volunteers from clinically depressed patients. The reliability feature selection methods outperformed previously utilized methods. The proposed framework for applying support vector classification to functional connectivity data is applicable to other disease states beyond major depression. Magn Reson Med 62: 1619-1628, 2009. (C) 2009 Wiley-Liss, Inc.				Holtzheimer, Paul/B-6212-2015	Holtzheimer, Paul/0000-0002-3552-3296; Craddock, Cameron/0000-0002-4950-1303												0740-3194					DEC	2009	62	6					1619	1628		10.1002/mrm.22159						WOS:000272067600028	19859933	
J	Eagle, N; Pentland, AS				Eagle, Nathan; Pentland, Alex Sandy			Eigenbehaviors: identifying structure in routine	BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY												Longitudinal behavioral data generally contains a significant amount of structure. In this work, we identify the structure inherent in daily behavior with models that can accurately analyze, predict, and cluster multimodal data from individuals and communities within the social network of a population. We represent this behavioral structure by the principal components of the complete behavioral dataset, a set of characteristic vectors we have termed eigenbehaviors. In our model, an individual's behavior over a specific day can be approximated by a weighted sum of his or her primary eigenbehaviors. When these weights are calculated halfway through a day, they can be used to predict the day's remaining behaviors with 79% accuracy for our test subjects. Additionally, we demonstrate the potential for this dimensionality reduction technique to infer community affiliations within the subjects' social network by clustering individuals into a "behavior space" spanned by a set of their aggregate eigenbehaviors. These behavior spaces make it possible to determine the behavioral similarity between both individuals and groups, enabling 96% classification accuracy of community affiliations within the population-level social network. Additionally, the distance between individuals in the behavior space can be used as an estimate for relational ties such as friendship, suggesting strong behavioral homophily amongst the subjects. This approach capitalizes on the large amount of rich data previously captured during the Reality Mining study from mobile phones continuously logging location, proximate phones, and communication of 100 subjects at MIT over the course of 9 months. As wearable sensors continue to generate these types of rich, longitudinal datasets, dimensionality reduction techniques such as eigenbehaviors will play an increasingly important role in behavioral research.																	0340-5443					MAY	2009	63	7					1057	1066		10.1007/s00265-009-0739-0						WOS:000265215700010		
J	Gopnik, A; Sobel, DM; Schulz, LE; Glymour, C				Gopnik, A; Sobel, DM; Schulz, LE; Glymour, C			Causal learning mechanisms in very young children: Two-, three-, and four-year-olds infer causal relations from patterns of variation and covariation	DEVELOPMENTAL PSYCHOLOGY												Three studies investigated whether young children make accurate causal inferences on the basis of patterns of variation and covariation. Children were presented with a new causal relation by means of a machine called the "blicket detector." Some objects, but not others, made the machine light up and play music. In the first 2 experiments, children were told that "blickets make the machine go" and were then asked to identify which objects were "blickets." Two-, 3-, and 4-year-old children were shown various patterns of variation and covariation between two different objects and the activation of the machine. All 3 age groups took this information into account in their causal judgments about which objects were blickets. In a 3rd experiment, 3- and 4-year-old children used the information when they were asked to make the machine stop: These results are related to Bayes-net causal graphical models of causal learning.																	0012-1649					SEP	2001	37	5					620	629		10.1037//0012-1649.37.5.620						WOS:000170776800006	11552758	
J	FARMER, JD; SIDOROWICH, JJ				FARMER, JD; SIDOROWICH, JJ			OPTIMAL SHADOWING AND NOISE-REDUCTION	PHYSICA D												The shadowing problem is that of finding a deterministic orbit as close as possible to a given noisy orbit. We present an optimal solution to this problem in the sense of least-mean-squares, which also provides an effective and convenient numerical method for noise reduction for data generated by a dynamical system. Given a noisy orbit y and a dynamical system f, we derive a set of nonlinear equations whose solution x is the deterministic orbit with the smallest possible Euclidean distance to y. We present a numerical method for solving these equations. The quality of the solution depends on the initial noise level. When f is known exactly, the noise can be reduced to machine precision over long trajectory segments; with higher noise levels there are regions where the algorithm has difficulty, but significant overall noise reductions are still achieved. If f must be learned from the data the noise reduction is limited by the accuracy of the learning algorithm and the number of available data points, but large reductions are still possible in some cases.																	0167-2789					JAN	1991	47	3					373	392								WOS:A1991EX65200004		
J	Saulnier, DM; Riehle, K; Mistretta, TA; Diaz, MA; Mandal, D; Raza, S; Weidler, EM; Qin, X; Coarfa, C; Milosavljevic, A; Petrosino, JF; Highlander, S; Gibbs, R; Lynch, SV; Shulman, RJ; Versalovic, J				Saulnier, Delphine M.; Riehle, Kevin; Mistretta, Toni-Ann; Diaz, Maria-Alejandra; Mandal, Debasmita; Raza, Sabeen; Weidler, Erica M.; Qin, Xiang; Coarfa, Cristian; Milosavljevic, Aleksandar; Petrosino, Joseph F.; Highlander, Sarah; Gibbs, Richard; Lynch, Susan V.; Shulman, Robert J.; Versalovic, James			Gastrointestinal Microbiome Signatures of Pediatric Patients With Irritable Bowel Syndrome	GASTROENTEROLOGY												BACKGROUND & AIMS: The intestinal microbiomes of healthy children and pediatric patients with irritable bowel syndrome (IBS) are not well defined. Studies in adults have indicated that the gastrointestinal microbiota could be involved in IBS. METHODS: We analyzed 71 samples from 22 children with IBS (pediatric Rome III criteria) and 22 healthy children, ages 7-12 years, by 16S ribosomal RNA gene sequencing, with an average of 54,287 reads/stool sample (average 454 read length = 503 bases). Data were analyzed using phylogenetic-based clustering (Unifrac), or an operational taxonomic unit (OTU) approach using a supervised machine learning tool (randomForest). Most samples were also hybridized to a microarray that can detect 8741 bacterial taxa (16S rRNA PhyloChip). RESULTS: Microbiomes associated with pediatric IBS were characterized by a significantly greater percentage of the class gamma-proteobacteria (0.07% vs 0.89% of total bacteria, respectively; P<.05); 1 prominent component of this group was Haemophilus parainfluenzae. Differences highlighted by 454 sequencing were confirmed by high-resolution PhyloChip analysis. Using supervised learning techniques, we were able to classify different subtypes of IBS with a success rate of 98.5%, using limited sets of discriminant bacterial species. A novel Ruminococcus-like microbe was associated with IBS, indicating the potential utility of microbe discovery for gastrointestinal disorders. A greater frequency of pain correlated with an increased abundance of several bacterial taxa from the genus Alistipes. CONCLUSIONS: Using16S metagenomics by PhyloChip DNA hybridization and deep 454 pyrosequencing, we associated specific microbiome signatures with pediatric IBS. These findings indicate the important association between gastrointestinal microbes and IBS in children; these approaches might be used in diagnosis of functional bowel disorders in pediatric patients.					Diaz, Maria Alejandra/0000-0001-5537-5510												0016-5085					NOV	2011	141	5					1782	1791		10.1053/j.gastro.2011.06.072						WOS:000296512200043	21741921	
J	Verma, N; Shoeb, A; Bohorquez, J; Dawson, J; Guttag, J; Chandrakasan, AP				Verma, Naveen; Shoeb, Ali; Bohorquez, Jose; Dawson, Joel; Guttag, John; Chandrakasan, Anantha P.			A Micro-Power EEG Acquisition SoC With Integrated Feature Extraction Processor for a Chronic Seizure Detection System	IEEE JOURNAL OF SOLID-STATE CIRCUITS					Symposium on VLSI Circuits	JUN 16-18, 2009	Kyoto, JAPAN	Japan Soc Appl Phys, IEEE Solid State Circuits Soc				This paper presents a low-power SoC that performs EEG acquisition and feature extraction required for continuous detection of seizure onset in epilepsy patients. The SoC corresponds to one EEG channel, and, depending on the patient, up to 18 channels may be worn to detect seizures as part of a chronic treatment system. The SoC integrates an instrumentation amplifier, ADC, and digital processor that streams features-vectors to a central device where seizure detection is performed via a machine-learning classifier. The instrumentation-amplifier uses chopper-stabilization in a topology that achieves high input-impedance and rejects large electrode-offsets while operating at 1 V; the ADC employs power-gating for low energy-per-conversion while using static-biasing for comparator precision; the EEG feature extraction processor employs low-power hardware whose parameters are determined through validation via patient data. The integration of sensing and local processing lowers system power by 14x by reducing the rate of wireless EEG data transmission. Feature vectors are derived at a rate of 0.5 Hz, and the complete one-channel SoC operates from a 1 V supply, consuming 9 mu J per feature vector.																	0018-9200	1558-173X				APR	2010	45	4					804	816		10.1109/JSSC.2010.2042245						WOS:000275995000012		
J	Tuia, D; Ratle, F; Pacifici, F; Kanevski, MF; Emery, WJ				Tuia, Devis; Ratle, Frederic; Pacifici, Fabio; Kanevski, Mikhail F.; Emery, William J.			Active Learning Methods for Remote Sensing Image Classification	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING												In this paper, we propose two active learning algorithms for semiautomatic definition of training samples in remote sensing image classification. Based on predefined heuristics, the classifier ranks the unlabeled pixels and automatically chooses those that are considered the most valuable for its improvement. Once the pixels have been selected, the analyst labels them manually and the process is iterated. Starting with a small and nonoptimal training set, the model itself builds the optimal set of samples which minimizes the classification error. We have applied the proposed algorithms to a variety of remote sensing data, including very high resolution and hyperspectral images, using support vector machines. Experimental results confirm the consistency of the methods. The required number of training samples can be reduced to 10% using the methods proposed, reaching the same level of accuracy as larger data sets. A comparison with a state-of-the-art active learning method, margin sampling, is provided, highlighting advantages of the methods proposed. The effect of spatial resolution and separability of the classes on the quality of the selection of pixels is also discussed.				Tuia, Devis/J-2239-2015	Tuia, Devis/0000-0003-0374-2459; Emery, William/0000-0002-7598-9082												0196-2892					JUL	2009	47	7					2218	2232		10.1109/TGRS.2008.2010404						WOS:000267437300012		
J	Peters, J; Schaal, S				Peters, Jan; Schaal, Stefan			Reinforcement learning of motor skills with policy gradients	NEURAL NETWORKS												Autonomous learning is one of the hallmarks of human and animal behavior, and understanding the principles of learning will be crucial in order to achieve true autonomy in advanced machines like humanoid robots. In this paper, we examine learning of complex motor skills with human-like limbs. While supervised learning can offer useful tools for bootstrapping behavior, e.g., by learning from demonstration, it is only reinforcement learning that offers a general approach to the final trial-and-error improvement that is needed by each individual acquiring a skill. Neither neurobiological nor machine learning studies have, so far, offered compelling results on how reinforcement learning can be scaled to the high-dimensional continuous state and action spaces of humans or humanoids. Here, we combine two recent research developments on learning motor control in order to achieve this scaling. First, we interpret the idea of modular motor control by means of motor primitives as a suitable way to generate parameterized control policies for reinforcement learning. Second, we combine motor primitives with the theory of stochastic policy gradient learning, which currently seems to be the only feasible framework for reinforcement learning for humanoids. We evaluate different policy gradient methods with a focus on their applicability to parameterized motor primitives. We compare these algorithms in the context of motor primitive learning, and show that our most modern algorithm, the Episodic Natural Actor-Critic outperforms previous algorithms by at least an order of magnitude. We demonstrate the efficiency of this reinforcement learning method in the application of learning to hit a baseball with an anthropomorphic robot arm. (C) 2008 Elsevier Ltd. All rights reserved.				Peters, Jan/D-5068-2009	Peters, Jan/0000-0002-5266-8091												0893-6080	1879-2782				MAY	2008	21	4					682	697		10.1016/j.neunet.2008.02.003						WOS:000257639800012	18482830	
J	Vaughan, TM; McFarland, DJ; Schalk, G; Sarnacki, WA; Krusienski, DJ; Sellers, EW; Wolpaw, JR				Vaughan, Theresa M.; McFarland, Dennis J.; Schalk, Gerwin; Sarnacki, William A.; Krusienski, Dean J.; Sellers, Eric W.; Wolpaw, Jonathan R.			The wadsworth BCI research and development program: At home with BCI	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING					3rd International Meeting on Brain-Computer Interface Technology	JUN, 2005	Rensselaerville Inst, Rensselaerville, NY		Rensselaerville Inst			The ultimate goal of brain-computer interface (BCI) technology is to provide communication and control capacities to people with severe motor disabilities. BCI research at the Wadsworth Center focuses primarily on noninvasive, electroencephalography (EEG)-based BCI methods. We have shown that people, including those with severe motor disabilities, can learn to use sensorimotor rhythms (SMRs) to move a cursor rapidly and accurately in one or two dimensions. We have also improved P300-based BCI operation. We are now translating this laboratory-proven BCI technology into a system that can be used by severely disabled people in their homes with minimal ongoing technical oversight. To accomplish this, we have: improved our general-purpose BCI software (BCI2000); improved online adaptation and feature translation for SMR-based BCI operation; improved the accuracy and bandwidth of P300-based BCI operation; reduced the complexity of system hardware and software and begun to evaluate home system use in appropriate users. These developments have resulted in prototype systems for every day use in people's homes.																	1534-4320	1558-0210				JUN	2006	14	2					229	233		10.1109/TNSRE.2006.875577						WOS:000238394700027	16792301	
